City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Hilo,US,80.6,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
12,Belmonte,BR,78.8,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
17,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
25,Labuhan,ID,79.3,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
27,Butaritari,KI,81.93,clear sky,3.0707,172.7902,Isles Sunset Lodge
28,Bida,NG,77.88,clear sky,9.0833,6.0167,Royal Suite
31,Bengkulu,ID,79.5,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
36,Nelson Bay,AU,75.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
40,Rikitea,PF,77.41,broken clouds,-23.1203,-134.9692,Pension Maro'i
47,Mataura,NZ,77.58,clear sky,-46.1927,168.8643,Ellie's Villa
58,Saint-Philippe,RE,77.0,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
59,Hithadhoo,MV,82.6,broken clouds,-0.6,73.0833,Scoop Guest House
60,Mahebourg,MU,75.2,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
64,Itarema,BR,79.88,clear sky,-2.9248,-39.9167,Windvillage
67,Villamontes,BO,77.79,light rain,-21.25,-63.5,Hotel Raldes
68,Lorengau,PG,86.2,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
72,Sola,VU,82.6,moderate rain,-13.8833,167.55,Leumerus Bungalows
78,Porto Novo,BJ,82.4,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
80,Kirakira,SB,87.46,overcast clouds,-10.4544,161.9205,SanBiz Lodge
83,Bacolod,PH,83.19,light rain,10.6667,122.95,Planta Hotel & Residences
92,Carnarvon,AU,84.2,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
94,Georgetown,MY,75.99,moderate rain,5.4112,100.3354,Cititel Penang
97,Kapaa,US,78.8,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
100,Arraial Do Cabo,BR,75.81,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
104,Kavaratti,IN,82.81,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
105,Kapit,MY,79.59,scattered clouds,2.0167,112.9333,Hotel Meligai Kapit
109,Angoche,MZ,78.08,overcast clouds,-16.2325,39.9086,Guest House HESADA
115,Jaciara,BR,75.22,light rain,-15.9653,-54.9683,Taba Hotel
116,Takoradi,GH,79.23,overcast clouds,4.8845,-1.7554,Raybow International Hotel
118,Santa Fe,AR,77.0,clear sky,-31.6333,-60.7,Conquistador Hotel
120,Sao Miguel,BR,80.6,few clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
122,Madang,PG,88.81,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
123,Catuday,PH,79.39,clear sky,16.2923,119.8062,GResort
130,Fomboni,KM,83.21,light rain,-12.28,43.7425,Auberge les abou
131,Ocos,GT,82.4,light rain,14.5094,-92.1933,Auto Hotel El Soñador
134,Cabadiangan,PH,82.9,clear sky,9.7531,122.4739,Kipot
136,Avarua,CK,86.0,scattered clouds,-21.2078,-159.775,Paradise Inn
137,Cayenne,GF,75.2,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
142,Yulara,AU,75.2,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
144,Geraldton,AU,86.0,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
147,Atuona,PF,77.5,overcast clouds,-9.8,-139.0333,Villa Enata
148,Stabat,ID,75.2,light rain,3.761,98.4513,Link VII damai
149,Alice Springs,AU,77.0,clear sky,-23.7,133.8833,Desert Palms Alice Springs
151,Sambava,MG,75.09,overcast clouds,-14.2667,50.1667,Melrose
153,Itapirapua,BR,76.19,scattered clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
156,Pundaguitan,PH,79.83,light rain,6.3711,126.1689,Leonardo Family Beach House 1
162,Coahuayana,MX,78.8,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
163,Tevaitoa,PF,81.28,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
182,Soledad,CO,78.8,broken clouds,10.9184,-74.7646,Cartagena Marlin hostel
183,Bambous Virieux,MU,75.2,scattered clouds,-20.3428,57.7575,Casa Tia Villa
192,Srandakan,ID,81.54,broken clouds,-7.9386,110.2506,Puri Brata
193,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
194,Gladstone,AU,86.0,light rain,-23.85,151.25,Highpoint International
195,Charters Towers,AU,76.69,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
198,Flinders,AU,75.99,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
203,Mana,GF,78.15,overcast clouds,5.6592,-53.7767,LE SAMANA
204,Dingle,PH,80.64,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
205,Hervey Bay,AU,90.0,broken clouds,-25.2986,152.8535,Shelly Bay Resort
207,Giyani,ZA,75.22,overcast clouds,-23.3025,30.7187,Kulani Country Lodge
208,Banjar,ID,80.6,scattered clouds,-8.19,114.9675,The Hamsa Resort
210,Atambua,ID,83.25,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
213,Pandan,PH,80.06,broken clouds,14.0453,124.1694,Bonifacio Lodge
215,Bundaberg,AU,90.0,broken clouds,-24.85,152.35,Takalvan Motel
224,Kavieng,PG,79.18,light rain,-2.5744,150.7967,Nusa Island Retreat
228,Port-Gentil,GA,80.47,moderate rain,-0.7193,8.7815,Fengshui Residence
232,Harper,LR,79.05,overcast clouds,4.375,-7.7169,Screensaver
234,Amahai,ID,84.09,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
241,Vanimo,PG,85.46,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
248,Quatre Cocos,MU,75.2,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
253,Puerto Escondido,MX,75.2,light rain,15.85,-97.0667,Aldea del Bazar Hotel and Spa
256,Axim,GH,79.54,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
257,Kloulklubed,PW,82.4,broken clouds,7.0419,134.2556,Storyboard Beach Resort
259,Meulaboh,ID,78.15,overcast clouds,4.1363,96.1285,Kost Pria
263,Dawei,MM,76.8,overcast clouds,14.0833,98.2,Hotel Dawei
264,Santa Isabel,BR,77.0,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
269,Tecoanapa,MX,78.04,clear sky,16.5167,-98.75,Hotel Manglares
278,Sao Jose Do Belmonte,BR,76.26,clear sky,-7.8614,-38.7597,Pousada Pedra do Reino
279,Saint-Joseph,RE,75.2,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
286,Sao Joao Da Barra,BR,76.15,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
301,Marawi,PH,75.67,light rain,7.9986,124.2928,Derogongan Residence
315,Sao Filipe,CV,75.13,overcast clouds,14.8961,-24.4956,Tortuga B&B
316,Kankon,IN,78.8,mist,15.0167,74.0167,Palolem Beach Resort
317,Auki,SB,88.21,overcast clouds,-8.7676,160.7034,Auki Motel
327,Omboue,GA,77.79,moderate rain,-1.5746,9.2618,Hotel Olako
332,Kiunga,PG,79.3,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
334,Nsanje,MW,75.2,clear sky,-16.92,35.262,Nsanje Discovery Lodge
336,Pontian Kecil,MY,79.0,few clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
342,Canutama,BR,75.94,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
343,Bella Union,UY,79.52,clear sky,-30.2752,-57.6007,Hotel Oriente
346,Luanda,AO,76.64,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
353,Cotonou,BJ,82.4,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
356,Samarai,PG,85.95,scattered clouds,-10.6167,150.6667,Nuli Sapi
361,Anloga,GH,82.4,few clouds,5.7947,0.8973,Pin Drop Hotel
363,Sorong,ID,83.48,scattered clouds,-0.8833,131.25,The Waigo Hotel
386,Souillac,MU,75.2,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
391,Sabang,ID,81.5,overcast clouds,5.8933,95.3214,Hotel Citra
393,Kourou,GF,75.2,clear sky,5.1552,-52.6478,Lodge Takini 4
415,Monrovia,LR,75.2,mist,6.3005,-10.7969,Sunset Inn
417,Timbiqui,CO,75.0,light rain,2.7717,-77.6654,hotel diana
421,Palu,ID,80.1,light rain,-0.8917,119.8707,Hotel Santika Palu
441,Novo Aripuana,BR,75.0,light rain,-5.1206,-60.3797,Hotel Ezequiel
442,Mormugao,IN,78.8,mist,15.4,73.8,Coconut Creek Resort
456,Bireun,ID,77.43,overcast clouds,5.202999999999999,96.7009,Hotel Fajar
458,Alofi,NU,75.2,shower rain,-19.0595,-169.9187,Taloa Heights
460,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
472,Parkes,AU,78.39,overcast clouds,-33.1333,148.1833,Station Motel
