City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,66.0,52,75,10.29,broken clouds
1,Qaanaaq,GL,77.484,-69.3632,-0.33,75,100,8.32,overcast clouds
2,Port Elizabeth,ZA,-33.918,25.5701,64.4,93,0,2.24,clear sky
3,Tazovskiy,RU,67.4667,78.7,-14.57,88,69,12.1,broken clouds
4,Punta Arenas,CL,-53.15,-70.9167,55.4,58,99,6.93,overcast clouds
5,Bredasdorp,ZA,-34.5322,20.0403,62.6,93,9,5.82,clear sky
6,Hilo,US,19.7297,-155.09,80.6,61,20,9.17,few clouds
7,Castro,BR,-24.7911,-50.0119,65.19,96,100,4.5,overcast clouds
8,Airai,TL,-8.9266,125.4092,72.32,84,66,1.83,light rain
9,Chuy,UY,-33.6971,-53.4616,72.25,83,96,15.5,overcast clouds
10,Ilulissat,GL,69.2167,-51.1,14.0,56,100,11.41,overcast clouds
11,Qobustan,AZ,40.0824,49.412,39.2,86,90,6.93,overcast clouds
12,Belmonte,BR,-15.8631,-38.8828,78.8,74,0,6.93,clear sky
13,Roebourne,AU,-20.7833,117.1333,90.7,30,0,22.03,clear sky
14,Rorvik,NO,64.8621,11.2373,34.38,88,93,12.48,overcast clouds
15,Scicli,IT,36.7902,14.7014,44.6,87,100,1.12,overcast clouds
16,Yellowknife,CA,62.456,-114.3525,-2.99,83,90,12.75,light snow
17,Vaini,TO,-21.2,-175.2,80.6,94,75,9.17,broken clouds
18,Egvekinot,RU,66.3167,-179.1667,-17.21,90,97,3.94,overcast clouds
19,Bethel,US,41.3712,-73.414,35.6,74,90,6.93,overcast clouds
20,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,88,75,3.36,broken clouds
21,Morgan City,US,29.6994,-91.2068,57.2,67,1,5.82,clear sky
22,Hobart,AU,-42.8794,147.3294,66.0,52,75,10.29,broken clouds
23,Cape Town,ZA,-33.9258,18.4232,68.0,88,20,14.99,few clouds
24,Khatanga,RU,71.9667,102.5,-0.9,91,100,23.49,overcast clouds
25,Labuhan,ID,-6.8844,112.2051,79.3,83,95,5.61,overcast clouds
26,Dalby,AU,-27.1833,151.2667,91.99,40,1,1.99,clear sky
27,Butaritari,KI,3.0707,172.7902,81.93,75,0,19.86,clear sky
28,Bida,NG,9.0833,6.0167,77.88,24,0,2.3,clear sky
29,Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,56,0,19.46,clear sky
30,Nautla,MX,20.2167,-96.7833,71.46,87,98,3.76,light rain
31,Bengkulu,ID,-3.8004,102.2655,79.5,81,61,4.27,broken clouds
32,Barrow,US,71.2906,-156.7887,-16.6,68,40,6.93,mist
33,Okha,RU,53.5739,142.9478,-8.63,90,100,24.09,light snow
34,Hermanus,ZA,-34.4187,19.2345,63.0,93,68,2.57,broken clouds
35,Guerrero Negro,MX,27.9769,-114.0611,63.21,58,0,10.71,clear sky
36,Nelson Bay,AU,-32.7167,152.15,75.0,83,90,14.99,overcast clouds
37,Luderitz,NA,-26.6481,15.1594,69.8,77,5,5.82,clear sky
38,Mar Del Plata,AR,-38.0023,-57.5575,68.0,88,90,11.41,mist
39,Hasaki,JP,35.7333,140.8333,43.0,75,75,21.92,broken clouds
40,Rikitea,PF,-23.1203,-134.9692,77.41,73,67,12.39,broken clouds
41,Busselton,AU,-33.65,115.3333,73.99,51,37,1.99,scattered clouds
42,Puerto Ayora,EC,-0.7393,-90.3518,73.99,91,99,5.01,overcast clouds
43,Tiksi,RU,71.6872,128.8694,-23.48,84,100,15.32,overcast clouds
44,Chokurdakh,RU,70.6333,147.9167,-13.49,89,100,11.63,overcast clouds
45,Saskylakh,RU,71.9167,114.0833,0.37,91,100,17.67,light snow
46,Douglas,US,41.3,-96.167,41.0,60,1,10.29,clear sky
47,Mataura,NZ,-46.1927,168.8643,77.58,46,10,2.82,clear sky
48,Sumbe,AO,-11.2061,13.8437,74.91,84,0,6.69,clear sky
49,Noshiro,JP,40.2039,140.0242,15.8,92,75,2.24,light shower snow
