City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2020-12-29 23:59:47,-23.12,-134.97,78.06,75,84,7.76
1,Mar Del Plata,AR,2020-12-29 23:58:21,-38.0,-57.56,72.0,88,0,12.75
2,Port Elizabeth,ZA,2020-12-29 23:59:48,-33.92,25.57,66.2,82,0,6.93
3,Ushuaia,AR,2020-12-29 23:59:48,-54.8,-68.3,51.8,50,75,24.16
4,Hilo,US,2020-12-29 23:59:48,19.73,-155.09,80.6,69,75,16.11
5,Bafra,TR,2020-12-29 23:55:49,41.57,35.91,39.2,80,0,4.7
6,Lompoc,US,2020-12-29 23:59:48,34.64,-120.46,62.6,45,1,10.29
7,Paka,MY,2020-12-29 23:59:49,4.64,103.44,73.4,94,20,5.08
8,Severo-Kurilsk,RU,2020-12-29 23:59:49,50.68,156.12,26.08,90,92,17.54
9,Broome,US,2020-12-29 23:59:17,42.25,-75.83,25.0,73,1,8.05
10,Nikolskoye,RU,2020-12-29 23:59:49,59.7,30.79,28.4,92,90,15.66
11,Punta Arenas,CL,2020-12-29 23:59:25,-53.15,-70.92,53.01,57,0,20.8
12,Mataura,NZ,2020-12-29 23:59:50,-46.19,168.86,62.01,71,100,5.99
13,Sao Joao Dos Patos,BR,2020-12-29 23:59:50,-6.5,-43.7,73.56,72,1,2.39
14,Saint-Philippe,RE,2020-12-29 23:59:50,-21.36,55.77,75.2,73,0,13.87
15,Husavik,IS,2020-12-29 23:59:50,66.04,-17.34,17.6,85,20,7.43
16,Albany,US,2020-12-29 23:59:51,42.6,-73.97,26.01,48,64,1.99
17,Jamestown,US,2020-12-29 23:59:51,42.1,-79.24,21.2,67,40,3.36
18,Umm Lajj,SA,2020-12-29 23:59:51,25.02,37.27,74.53,60,1,3.96
19,Kapaa,US,2020-12-29 23:59:52,22.08,-159.32,80.6,69,40,6.93
20,Carnarvon,AU,2020-12-29 23:59:52,-24.87,113.63,77.0,94,36,11.41
21,Wagar,SD,2020-12-29 23:59:52,16.15,36.2,67.89,81,0,8.41
22,Kamaishi,JP,2020-12-29 23:59:52,39.27,141.88,30.2,92,75,18.34
23,Khatanga,RU,2020-12-29 23:59:53,71.97,102.5,-31.29,84,73,8.41
24,Marrakesh,MA,2020-12-29 23:59:01,31.63,-8.01,53.6,81,40,6.93
25,Hobart,AU,2020-12-29 23:57:47,-42.88,147.33,73.0,45,40,6.93
26,Katsuura,JP,2020-12-29 23:57:37,35.13,140.3,60.8,93,75,8.05
27,Padang,ID,2020-12-29 23:59:53,-0.95,100.35,78.24,75,98,3.24
28,Pinsk,BY,2020-12-29 23:58:36,52.12,26.1,38.7,83,15,11.12
29,Dutlwe,BW,2020-12-29 23:59:54,-23.98,23.9,77.85,53,41,7.52
